Team,ELO,Aff_ELO,Neg_ELO,Aff_Rounds,Neg_Rounds
Goode STEM CM,1600,1600,1600,0,0
Green Canyon EH,1600,1600,1600,0,0
Green Canyon ZO,1600,1600,1600,0,0
Greenhill AJ,1600,1600,1600,0,0
Greenhill AX,1600,1600,1600,0,0
Greenhill BC,1600,1600,1600,0,0
Greenhill BH,1600,1600,1600,0,0
Greenhill CL,1600,1600,1600,0,0
Greenhill CS,1600,1600,1600,0,0
Greenhill LB,1600,1600,1600,0,0
Greenhill MB,1600,1600,1600,0,0
Greenhill MO,1600,1600,1600,0,0
Greenhill MS,1600,1600,1600,0,0
Greenhill NS,1600,1600,1600,0,0
Greenhill SB,1600,1600,1600,0,0
Gunn Independent KB,1600,1600,1600,0,0
Hardy GP,1600,1600,1600,0,0
Hawken KZ,1600,1600,1600,0,0
Hawken LK,1600,1600,1600,0,0
Hawken LS,1600,1600,1600,0,0
Hayden BA,1600,1600,1600,0,0
Hayden BG,1600,1600,1600,0,0
Head-Royce AJ,1600,1600,1600,0,0
Head-Royce AP,1600,1600,1600,0,0
Head-Royce DW,1600,1600,1600,0,0
Head-Royce PC,1600,1600,1600,0,0
Heights CM,1600,1600,1600,0,0
Heights DG,1600,1600,1600,0,0
Hendrickson AH,1600,1600,1600,0,0
Herbert Henry Dow CC,1600,1600,1600,0,0
Heritage Hall CD,1600,1600,1600,0,0
Heritage Hall HC,1600,1600,1600,0,0
Heritage Hall HH,1600,1600,1600,0,0
Hill Country  VL,1600,1600,1600,0,0
Huntington DS,1600,1600,1600,0,0
Huntington Park BP,1600,1600,1600,0,0
Huntington Park DS,1600,1600,1600,0,0
Interlake AW,1600,1600,1600,0,0
Interlake OW,1600,1600,1600,0,0
Interlake SC,1600,1600,1600,0,0
Interlake YL,1600,1600,1600,0,0
Iowa City CL,1600,1600,1600,0,0
Iowa City CV,1600,1600,1600,0,0
Iowa City HV,1600,1600,1600,0,0
Iowa City LL,1600,1600,1600,0,0
Iowa City MC,1600,1600,1600,0,0
Iowa City RC,1600,1600,1600,0,0
Iowa City RL,1600,1600,1600,0,0
Iowa City West SL,1600,1600,1600,0,0
Isidore Newman CE,1600,1600,1600,0,0
